Segment #	CM Energy (MeV)	CM Angle (degrees)	CM Cross Section (barns)	Chi-Squared of Point
2	1.90107	125.318	0.0275308	3.2005e-06
2	1.93072	125.318	0.0266228	1.06873
2	1.95865	125.318	0.0279248	0.0801347
2	1.98959	125.318	0.0290041	1.6269
2	2.01795	125.318	0.0281133	0.105083
2	2.05018	125.318	0.0283189	0.0185732
2	2.07812	125.318	0.0265543	2.53721
2	2.11034	125.318	0.028079	0.00418273
2	2.14128	125.318	0.0289356	0.256283
2	2.1705	125.318	0.0284731	0.00883029
2	2.20015	125.318	0.0264858	5.02295
2	2.23238	125.318	0.0291069	0.025993
2	2.26418	125.318	0.0277707	2.26702
2	2.29512	125.318	0.0297237	0.150416
2	2.32477	125.318	0.0305974	0.0219661
2	2.35657	125.318	0.0303576	0.909326
2	2.38751	125.318	0.0318652	0.0359813
2	2.41974	125.318	0.0314197	1.01501
2	2.45068	125.318	0.0329445	0.763863
2	2.48248	125.318	0.033801	0.844437
2	2.51471	125.318	0.0357541	0.18267
2	2.54694	125.318	0.0381525	0.0546141
2	2.58003	125.318	0.0392318	0.0954795
2	2.61225	125.318	0.0422813	0.101595
2	2.62772	125.318	0.0422642	0.409043
2	2.64448	125.318	0.0437889	0.299903
2	2.66124	125.318	0.0464101	0.0478663
2	2.68058	125.318	0.0483802	0.0177808
2	2.69734	125.318	0.0488085	0.949815
2	2.72828	125.318	0.0531771	1.00179
2	2.71281	125.318	0.0514297	0.369745
2	2.76137	125.318	0.0592932	1.01056
2	2.79488	125.318	0.0671738	1.59053
2	2.83012	125.318	0.0827123	0.00723035
2	2.85204	125.318	0.0943106	0.161209
2	2.86622	125.318	0.101746	0.00720188
2	2.87524	125.318	0.107228	0.00282224
2	2.88985	125.318	0.118432	0.0180168
2	2.90017	125.318	0.126518	0.0197517
2	2.91177	125.318	0.133714	0.134936
2	2.92337	125.318	0.141611	0.270433
2	2.93368	125.318	0.145809	0.933885
2	2.944	125.318	0.152799	0.0351631
2	2.9556	125.318	0.156705	0.583237
2	2.97107	125.318	0.143616	0.0273329
2	2.98095	125.318	0.138117	2.97517
2	2.99127	125.318	0.119032	1.00549
2	3.00115	125.318	0.101746	0.607371
2	3.01103	125.318	0.0852478	0.410594
2	3.02221	125.318	0.0694523	0.866813
